,Unnamed: 0,Make,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Width,Body_Type,Kerb_Weight,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Seats_Material,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Clock,Fuel-lid_Opener,Handbrake,Instrument_Console,Third_Row_AC_Vents,Ventilation_System,Airbags,Number_of_Airbags,Parking_Assistance,Seat_Height_Adjustment,Length_new,Average_Mileage
0,0,Tata,292667.0,624.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1750.0,Hatchback,660.0,4.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,Remote,38PS@5500rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years /75000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2697.0,23.6
1,1,Tata,236447.0,624.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1750.0,Hatchback,725.0,4.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,Remote,38PS@5500rpm,Fabric,Manual,2.0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2697.0,23.6
2,2,Tata,296661.0,624.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15.0,CNG,1750.0,Hatchback,710.0,4.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,Remote,38PS@5500rpm,Fabric,Manual,2.0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Air Conditioning with cooling only,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2697.0,43.91912629757774
3,3,Tata,334768.0,624.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1750.0,Hatchback,725.0,5.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,Remote,38PS@5500rpm,Fabric,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years /75000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2697.0,22.75
4,4,Tata,272223.0,624.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1750.0,Hatchback,725.0,4.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,Remote,38PS@5500rpm,Fabric,Manual,2.0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Air Conditioning with cooling only,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2697.0,23.6
5,5,Tata,314815.0,624.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1750.0,Hatchback,710.0,5.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,Remote,38PS@5500rpm,Fabric,Automatic,2.0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Not Applicable,Air Conditioning with cooling only,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2697.0,22.75
6,6,Datsun,279650.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1560.0,Hatchback,1391.3889515219842,5.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,All Windows,Remote,54PS@5678rpm,Fabric,Manual,2.0,Not on offer,2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Yes,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2888.5,23.275
7,7,Datsun,351832.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1560.0,Hatchback,1391.3889515219842,5.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,Remote,54PS@5678rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2888.5,23.275
8,8,Datsun,333419.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1560.0,Hatchback,1391.3889515219842,5.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,All Windows,Remote,54PS@5678rpm,Fabric,Manual,2.0,Not on offer,2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2888.5,23.275
9,9,Datsun,362000.0,799.0,3.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1560.0,Hatchback,1391.3889515219842,5.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,All Windows,Remote,54PS@5678rpm,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",3.8075201432408234,Rear sensors,Manual Adjustment,2888.5,23.275
